period,flowDesc,partnerDesc,cmdCode,primaryValue
2019,Import,World,284420,382754486
2019,Import,China,284420,65706197
2019,Import,Czechia,284420,3194
2019,Import,Kazakhstan,284420,25035915
2019,Import,Russian Federation,284420,291962968
2019,Import,United Kingdom,284420,12676
2019,Import,USA,284420,33536
2019,Export,World,284420,114195527
2019,Export,Austria,284420,100
2019,Export,Kazakhstan,284420,32525168
2019,Export,Rep. of Korea,284420,74578602
2019,Export,USA,284420,7091657
2019,Import,World,284440,95608779
2019,Import,Australia,284440,857390
2019,Import,Belgium,284440,9040485
2019,Import,Canada,284440,17356775
2019,Import,China,284440,62220
2019,Import,Czechia,284440,3411328
2019,Import,Denmark,284440,563
2019,Import,Finland,284440,51278
2019,Import,France,284440,5063151
2019,Import,Germany,284440,12553478
2019,Import,Hungary,284440,21931
2019,Import,Japan,284440,1949574
2019,Import,Rep. of Korea,284440,3109805
2019,Import,Mexico,284440,11652
2019,Import,Netherlands,284440,2692421
2019,Import,Poland,284440,3573944
2019,Import,Russian Federation,284440,10667702
2019,Import,South Africa,284440,393634
2019,Import,Switzerland,284440,3999621
2019,Import,Türkiye,284440,165890
2019,Import,United Kingdom,284440,186846
2019,Import,USA,284440,19043346
2019,Import,Uzbekistan,284440,1395745
2019,Export,World,284440,10325834
2019,Export,Algeria,284440,100
2019,Export,Australia,284440,69000
2019,Export,Austria,284440,18000
2019,Export,Bangladesh,284440,514554
2019,Export,Belgium,284440,42014
2019,Export,Brazil,284440,133510
2019,Export,Myanmar,284440,5175
2019,Export,Cambodia,284440,53879
2019,Export,Canada,284440,4013688
2019,Export,Czechia,284440,46000
2019,Export,Ethiopia,284440,245220
2019,Export,Finland,284440,156000
2019,Export,France,284440,33398
2019,Export,Germany,284440,92347
2019,Export,"China, Hong Kong SAR",284440,49908
2019,Export,Hungary,284440,122928
2019,Export,Indonesia,284440,105084
2019,Export,Iran,284440,600
2019,Export,Iraq,284440,259096
2019,Export,Israel,284440,3636
2019,Export,Italy,284440,24135
2019,Export,Japan,284440,372043
2019,Export,Kazakhstan,284440,151884
2019,Export,Kenya,284440,200
2019,Export,Rep. of Korea,284440,611662
2019,Export,Kyrgyzstan,284440,182
2019,Export,"China, Macao SAR",284440,12500
2019,Export,Malaysia,284440,8976
2019,Export,Mexico,284440,63160
2019,Export,"Other Asia, nes",284440,11658
