period,flowDesc,partnerDesc,cmdCode,primaryValue
2019,Import,World,846410,17484773
2019,Import,Austria,846410,322885
2019,Import,China,846410,78466
2019,Import,Denmark,846410,140
2019,Import,France,846410,160580
2019,Import,Germany,846410,2635520
2019,Import,Israel,846410,286418
2019,Import,Italy,846410,1507432
2019,Import,Japan,846410,6883567
2019,Import,Rep. of Korea,846410,349258
2019,Import,"Other Asia, nes",846410,365152
2019,Import,Netherlands,846410,1150
2019,Import,San Marino,846410,16273
2019,Import,India,846410,2647
2019,Import,Spain,846410,69211
2019,Import,Sweden,846410,643198
2019,Import,Switzerland,846410,81191
2019,Import,T¨¹rkiye,846410,34399
2019,Import,USA,846410,4047286
2019,Export,World,846410,130888278
2019,Export,Afghanistan,846410,2639
2019,Export,Albania,846410,321634
2019,Export,Algeria,846410,1281611
2019,Export,Angola,846410,914340
2019,Export,Azerbaijan,846410,32659
2019,Export,Argentina,846410,152382
2019,Export,Australia,846410,2298584
2019,Export,Austria,846410,482296
2019,Export,Bahamas,846410,75
2019,Export,Bahrain,846410,99118
2019,Export,Bangladesh,846410,354626
2019,Export,Armenia,846410,139559
2019,Export,Belgium,846410,261618
2019,Export,Bolivia (Plurinational State of),846410,155318
2019,Export,Botswana,846410,3744
2019,Export,Brazil,846410,1317685
2019,Export,Belize,846410,26515
2019,Export,Solomon Isds,846410,21919
2019,Export,Brunei Darussalam,846410,17600
2019,Export,Bulgaria,846410,153967
2019,Export,Myanmar,846410,655132
2019,Export,Burundi,846410,1574
2019,Export,Belarus,846410,112109
2019,Export,Cambodia,846410,1478137
2019,Export,Cameroon,846410,450816
2019,Export,Canada,846410,1843853
2019,Export,Cabo Verde,846410,18691
2019,Export,Sri Lanka,846410,76697
2019,Export,Chile,846410,103871
2019,Export,Colombia,846410,40205
2019,Export,Congo,846410,3810
2019,Export,Dem. Rep. of the Congo,846410,14899
2019,Export,Costa Rica,846410,7800
2019,Export,Croatia,846410,127359
2019,Export,Cyprus,846410,58648
2019,Export,Czechia,846410,38139
2019,Export,Benin,846410,25432
2019,Export,Denmark,846410,1683
2019,Export,Dominican Rep.,846410,90933
2019,Export,Ecuador,846410,15286
2019,Export,Equatorial Guinea,846410,2124
2019,Export,Ethiopia,846410,180360
2019,Export,Estonia,846410,50330
2019,Export,Fiji,846410,4329
2019,Export,Finland,846410,128458
2019,Export,France,846410,504053
2019,Export,Djibouti,846410,161685
2019,Export,Gabon,846410,3942
2019,Export,Georgia,846410,610417
2019,Export,Gambia,846410,846
